Date,IDR,NEER
1/25/2007,11803.49,92.7221
1/26/2007,11765.71,92.4322
1/29/2007,11787.18,92.4346
1/30/2007,11804.52,92.2845
1/31/2007,11788.14,92.4039
2/1/2007,11824.11,92.7643
2/2/2007,11818.25,93.1416
2/5/2007,11716.51,93.3226
2/6/2007,11729.46,93.0991
2/7/2007,11738.3,91.3255
2/8/2007,11760.1,90.1694
2/9/2007,11774.59,89.2124
2/12/2007,11716.76,89.3258
2/13/2007,11816.81,90.661
2/14/2007,11862.76,91.289
2/15/2007,11877.16,90.9572
2/16/2007,11872.7,89.0752
2/19/2007,11915.98,88.1783
2/20/2007,11912.66,86.6437
2/21/2007,11921.2,81.528
2/22/2007,11900.9,80.3359
2/23/2007,11925.02,81.0967
2/26/2007,11932.83,80.1715
2/27/2007,12029.38,80.0208
2/28/2007,12063.62,81.2433
3/1/2007,12104.18,83.2018
3/2/2007,12067.18,86.5932
3/5/2007,12108.32,86.6638
3/6/2007,12078.2,87.4916
3/7/2007,12097.34,87.5726
3/8/2007,12063.67,87.8343
3/9/2007,12071.03,86.9319
3/12/2007,12067.34,85.7528
3/13/2007,12179.73,85.4708
3/14/2007,12154.07,84.744
3/15/2007,12201.65,84.4009
3/16/2007,12294.31,84.4686
3/19/2007,12272.02,85.3304
3/20/2007,12172.49,84.9014
3/21/2007,12143.16,84.6813
3/22/2007,12158.09,84.6071
3/23/2007,12140.9,84.4228
3/26/2007,12075.79,84.2145
3/27/2007,12173.13,86.2844
3/28/2007,12212.75,84.8592
3/29/2007,12187.04,86.891
3/30/2007,12152.68,84.4654
4/2/2007,12182.44,84.3815
4/3/2007,12145.76,86.2977
4/4/2007,12171.68,86.4339
4/5/2007,12169.43,86.6564
4/10/2007,12217.66,86.3288
4/11/2007,12190.25,86.476
4/12/2007,12269.78,86.5466
4/13/2007,12308.71,86.4406
4/16/2007,12320.34,85.7483
4/17/2007,12312.65,86.0733
4/18/2007,12341.49,85.4877
4/19/2007,12380.31,86.2904
4/20/2007,12368.53,85.8545
4/23/2007,12322.64,85.9063
4/24/2007,12344,85.5322
4/25/2007,12396.02,85.467
4/26/2007,12345.17,85.2621
4/27/2007,12384.43,85.2529
4/30/2007,12357.42,85.7688
5/2/2007,12327.71,86.1816
5/3/2007,12315,86.4609
5/4/2007,12170.32,86.6422
5/7/2007,12096.93,86.5774
5/8/2007,12052.38,86.1563
5/9/2007,11931.1,86.1978
5/10/2007,11856.42,86.1516
5/11/2007,11962.08,86.3952
5/14/2007,11923.12,86.3851
5/15/2007,11920.21,86.6509
5/16/2007,11951.91,86.6419
5/17/2007,11887.32,86.4285
5/18/2007,11886.71,87.243
5/21/2007,11776.94,95.6479
5/22/2007,11676.73,95.5426
5/23/2007,11749.79,96.9154
5/24/2007,11753.55,96.5778
5/25/2007,11760.88,97.4032
5/28/2007,11761.96,100.3023
5/29/2007,11908.18,102.379
5/30/2007,11863.28,100.7574
5/31/2007,11879,100.6198
6/1/2007,11859.96,101.7063
6/4/2007,11830.46,103.1154
6/5/2007,11901.39,103.5917
6/6/2007,12033.33,103.7181
6/7/2007,11954.63,104.9471
6/8/2007,12154.26,105.5681
6/11/2007,12119.66,112.1922
6/12/2007,11983.81,113.3112
6/13/2007,12068.58,108.6409
6/14/2007,12066.73,108.8949
6/15/2007,12043.18,111.8295
6/18/2007,11929.56,111.4132
6/19/2007,11962.18,110.2571
6/20/2007,12010.45,109.286
6/21/2007,12077.4,109.6444
6/22/2007,12103.62,109.1506
6/25/2007,12162.01,105.7154
6/26/2007,12221.68,103.9296
6/27/2007,12272.93,106.7913
6/28/2007,12224.67,107.0965
6/29/2007,12201.77,106.1297
7/2/2007,12246.86,105.9065
7/3/2007,12261.3,106.7615
7/4/2007,12266.41,104.8458
7/5/2007,12289.64,105.3623
7/6/2007,12297.58,105.4166
7/9/2007,12286.14,104.7817
7/10/2007,12296.67,104.035
7/11/2007,12422.4,101.6756
7/12/2007,12491.93,100.392
7/13/2007,12434.81,100.9338
7/16/2007,12464.91,100.6309
7/17/2007,12469.64,99.9439
7/18/2007,12538.89,98.775
7/19/2007,12562.38,98.6992
7/20/2007,12502.07,98.3554
7/23/2007,12539.1,95.1938
7/24/2007,12508.49,95.2915
7/25/2007,12513,96.7448
7/26/2007,12539.16,98.4961
7/27/2007,12552.09,97.0353
7/30/2007,12579.94,95.2729
7/31/2007,12644.71,96.0244
8/1/2007,12713.42,96.7318
8/2/2007,12707.52,96.495
8/3/2007,12698.45,96.1715
8/6/2007,12850.74,96.1464
8/7/2007,12876.7,95.8475
8/8/2007,12820.83,95.439
8/9/2007,12809.16,95.3945
8/10/2007,12759.34,95.2304
8/13/2007,12753.45,94.5955
8/14/2007,12714.38,94.3924
8/15/2007,12702.48,94.3151
8/16/2007,12701.24,93.921
