Date,ILS
10/3/2014,4.6172
10/6/2014,4.61
10/7/2014,4.6755
10/8/2014,4.7167
10/9/2014,4.7151
10/10/2014,4.7095
10/13/2014,4.7387
10/14/2014,4.729
10/15/2014,4.7188
10/16/2014,4.721
10/17/2014,4.7586
10/20/2014,4.7831
10/21/2014,4.7588
10/22/2014,4.7497
10/23/2014,4.7737
10/24/2014,4.7906
10/27/2014,4.805
10/28/2014,4.7918
10/29/2014,4.7749
10/30/2014,4.7532
10/31/2014,4.7545
11/3/2014,4.7343
11/4/2014,4.7535
11/5/2014,4.7442
11/6/2014,4.7403
11/7/2014,4.7198
11/10/2014,4.7282
11/11/2014,4.7483
11/12/2014,4.7634
11/13/2014,4.751
11/14/2014,4.7468
11/17/2014,4.7764
11/18/2014,4.8054
11/19/2014,4.8057
11/20/2014,4.8238
11/21/2014,4.7801
11/24/2014,4.7955
11/25/2014,4.8046
11/26/2014,4.8348
11/27/2014,4.851
11/28/2014,4.8592
12/1/2014,4.8818
12/2/2014,4.9255
12/3/2014,4.9219
12/4/2014,4.9109
12/5/2014,4.8945
12/8/2014,4.8957
12/9/2014,4.8645
12/10/2014,4.878
12/11/2014,4.8575
12/12/2014,4.8569
12/15/2014,4.8862
12/16/2014,4.9055
12/17/2014,4.8805
12/18/2014,4.8515
12/19/2014,4.8211
12/22/2014,4.8109
12/23/2014,4.7708
12/24/2014,4.778
12/29/2014,4.7916
12/30/2014,4.752
12/31/2014,4.72
1/2/2015,4.7291
1/5/2015,4.712
1/6/2015,4.714
1/7/2015,4.6835
1/8/2015,4.674
1/9/2015,4.6614
1/12/2015,4.6688
1/13/2015,4.6462
1/14/2015,4.6307
1/15/2015,4.5644
1/16/2015,4.542
1/19/2015,4.5604
1/20/2015,4.5456
1/21/2015,4.5519
1/22/2015,4.5687
1/23/2015,4.4766
1/26/2015,4.4938
1/27/2015,4.503
1/28/2015,4.4774
1/29/2015,4.4476
1/30/2015,4.4475
2/2/2015,4.456
2/3/2015,4.4565
2/4/2015,4.4449
2/5/2015,4.4229
2/6/2015,4.4302
2/9/2015,4.3791
2/10/2015,4.3793
2/11/2015,4.3598
2/12/2015,4.4204
2/13/2015,4.4286
2/16/2015,4.4121
2/17/2015,4.4126
2/18/2015,4.3872
2/19/2015,4.3743
2/20/2015,4.37
2/23/2015,4.3602
2/24/2015,4.4702
2/25/2015,4.483
2/26/2015,4.4552
