Date,HUF,NEER
6/19/2001,246.27,94.0777
6/20/2001,246.7,94.0616
6/21/2001,245.16,94.4094
6/22/2001,243.88,94.069
6/25/2001,243.35,94.3296
6/26/2001,243.35,93.7135
6/27/2001,243.57,94.4947
6/28/2001,242.18,94.6725
6/29/2001,243.63,94.8241
7/2/2001,242.85,94.4967
7/3/2001,242.58,94.7377
7/4/2001,240.9,95.0909
7/5/2001,242.4,94.9322
7/6/2001,250.55,94.8603
7/9/2001,254.05,94.9042
7/10/2001,252.15,94.872
7/11/2001,256.44,95.7182
7/12/2001,256.95,95.4928
7/13/2001,254.85,95.2902
7/16/2001,254.35,95.1492
7/17/2001,252.55,94.9721
7/18/2001,248.63,94.2934
7/19/2001,249.25,94.6426
7/20/2001,249.2,94.7964
7/23/2001,246.68,94.7518
7/24/2001,247.27,95.0601
7/25/2001,246.59,95.4576
7/26/2001,246.35,95.6942
7/27/2001,247.27,95.9938
7/30/2001,247.08,95.7268
7/31/2001,247.75,95.8441
8/1/2001,248.14,96.0782
8/2/2001,248.72,96.1289
8/3/2001,248,96.0091
8/6/2001,247.06,95.2719
8/7/2001,247.39,95.9104
8/8/2001,246.95,96.0352
8/9/2001,246.5,95.8127
8/10/2001,246.92,95.3237
8/13/2001,246.38,95.2601
8/14/2001,246.6,95.4076
8/15/2001,253,95.2843
8/16/2001,254.25,95.7007
8/17/2001,255.73,95.9049
8/20/2001,255.9,95.564
8/21/2001,256.24,96.1516
8/22/2001,256.47,96.4811
8/23/2001,251.52,96.9061
8/24/2001,251.51,96.6719
8/27/2001,252.95,96.4799
8/28/2001,254.08,96.1045
8/29/2001,252.93,97.1385
8/30/2001,252.4,97.4679
8/31/2001,253.75,97.6977
9/3/2001,251.7,98.0505
9/4/2001,252.16,98.2016
9/5/2001,251.67,98.3774
9/6/2001,252.05,98.3064
9/7/2001,253.11,97.8064
9/10/2001,252.99,97.9189
9/11/2001,251.78,97.6978
9/12/2001,256,97.7972
9/13/2001,255.97,97.918
9/14/2001,255.3,98.9659
9/17/2001,257.74,98.6445
9/18/2001,257.33,98.8149
9/19/2001,258.15,98.8973
9/20/2001,258.27,98.896
9/21/2001,260.65,98.7893
9/24/2001,260.95,98.7091
9/25/2001,259.83,98.4931
9/26/2001,258.28,98.8902
9/27/2001,257.55,98.8938
9/28/2001,257.35,98.5733
10/1/2001,257.27,98.7595
10/2/2001,257.98,98.9087
10/3/2001,257.27,98.7783
10/4/2001,257.32,98.8814
10/5/2001,256.98,99.0853
10/8/2001,259.04,98.7615
10/9/2001,256.78,98.4777
10/10/2001,255.95,98.2414
10/11/2001,254.92,98.3987
10/12/2001,255.63,98.2787
10/15/2001,255.27,98.3458
10/16/2001,254.06,98.495
10/17/2001,254.25,98.197
10/18/2001,254.44,98.1225
10/19/2001,254.25,98.2751
10/22/2001,254.19,97.8998
10/23/2001,251.45,98.5517
10/24/2001,252.22,98.8636
10/25/2001,252.56,98.5712
10/26/2001,252.98,98.7792
10/29/2001,254,99.0244
10/30/2001,256.34,99.6436
10/31/2001,255.24,99.3575
11/1/2001,255.13,98.627
11/2/2001,254.9,98.5552
11/5/2001,253.44,98.647
11/6/2001,252.15,98.5266
11/7/2001,251.84,98.5501
11/8/2001,250.53,98.1918
11/9/2001,251,97.5828
11/12/2001,250.62,97.5213
11/13/2001,249.5,97.5887
11/14/2001,249.15,97.7961
11/15/2001,249.74,98.1482
11/16/2001,252,98.0952
11/19/2001,250,97.954
11/20/2001,249.88,97.4977
11/21/2001,250.15,97.9902
11/22/2001,251.5,97.8495
11/23/2001,251.8,97.5295
11/26/2001,251.55,97.7109
11/27/2001,251.65,97.7897
11/28/2001,250.84,97.8921
11/29/2001,250.7,98.0092
11/30/2001,251.78,98.3301
12/3/2001,250.55,98.416
12/4/2001,249.43,98.3676
12/5/2001,248.53,98.2944
12/6/2001,248.9,98.2672
12/7/2001,249.6,98.4019
12/10/2001,250.19,98.4081
12/11/2001,247.85,98.5824
12/12/2001,247.14,98.826
12/13/2001,246.75,99.2033
12/14/2001,246.38,98.6471
12/17/2001,246.11,98.6886
12/18/2001,245.29,98.7654
12/19/2001,245.3,98.9117
12/20/2001,246.63,99.3876
12/21/2001,246.22,99.1534
12/24/2001,245.71,99.3922
12/27/2001,245.78,99.2037
12/28/2001,245.18,99.2777
1/2/2002,244.58,99.4269
1/3/2002,245.32,99.2162
1/4/2002,244.15,99.3893
1/7/2002,243.55,99.7741
1/8/2002,243.75,99.8496
1/9/2002,244.19,99.1334
1/10/2002,244.33,99.1495
1/11/2002,244.95,99.4355
1/14/2002,243.88,99.1575
1/15/2002,243.84,99.0789
1/16/2002,243.95,98.8248
1/17/2002,243.75,99.2742
1/18/2002,243.3,99.2606
1/21/2002,243.85,99.4526
1/22/2002,243.75,98.9838
1/23/2002,243.4,98.9781
1/24/2002,243.5,99.1576
1/25/2002,243.35,98.7762
1/28/2002,243.21,99.0329
1/29/2002,243.05,98.9486
1/30/2002,243.49,98.7676
1/31/2002,243.32,98.5043
2/1/2002,243,98.5647
2/4/2002,243.85,99.8187
2/5/2002,244.34,99.9845
2/6/2002,243.85,99.679
2/7/2002,244.95,99.8482
2/8/2002,243.95,99.6987
2/11/2002,243.45,99.6725
2/12/2002,243.75,99.925
2/13/2002,242.9,100.2829
2/14/2002,241.95,100.2369
2/15/2002,240.55,100.4131
2/18/2002,241.34,100.671
2/19/2002,243.07,101.2373
2/20/2002,243.65,101.0218
2/21/2002,243.15,101.0437
2/22/2002,243.75,101.0791
2/25/2002,243.51,101.1527
2/26/2002,244.08,101.0031
