Date,KRW,NEER
11/7/2000,976.77,101.7926
11/8/2000,970.59,101.4913
11/9/2000,967.24,101.3906
11/10/2000,984.82,101.2875
11/13/2000,981.09,100.7182
11/14/2000,976.32,100.1023
11/15/2000,976.51,99.711
11/16/2000,976.69,99.482
11/17/2000,975.55,99.9462
11/20/2000,980.36,99.5116
11/21/2000,988.49,99.4832
11/22/2000,991.67,99.6879
11/23/2000,1006.61,99.2973
11/24/2000,1003.04,99.7667
11/27/2000,998.63,99.6604
11/28/2000,1015.76,99.7906
11/29/2000,1040.16,99.8939
11/30/2000,1055.54,99.0693
12/1/2000,1056.06,99.211
12/4/2000,1084.55,98.9805
12/5/2000,1059.4,97.87
12/6/2000,1058.92,98.5624
12/7/2000,1071.37,98.4319
12/8/2000,1058.51,98.3582
12/11/2000,1041.51,99.0968
12/12/2000,1045.5,97.8487
12/13/2000,1042.5,97.6364
12/14/2000,1062.89,96.7624
12/15/2000,1084.82,96.7191
12/18/2000,1080.4,94.5771
12/19/2000,1075.93,95.6201
12/20/2000,1102.48,96.4273
12/21/2000,1122.49,96.4885
12/22/2000,1143.27,96.9794
12/27/2000,1171.66,97.767
12/28/2000,1162.95,98.1798
12/29/2000,1177.08,97.8243
1/2/2001,1202.37,98.4523
1/3/2001,1211.17,99.3658
1/4/2001,1190.57,97.9422
1/5/2001,1204.87,97.7349
1/8/2001,1202.46,98.3452
1/9/2001,1206.88,98.4662
1/10/2001,1192.31,97.6299
1/11/2001,1217.13,97.1262
1/12/2001,1223.19,97.964
1/15/2001,1212.25,98.5651
1/16/2001,1207.37,99.344
1/17/2001,1200.81,99.37
1/18/2001,1207.47,99.1139
1/19/2001,1200.85,98.9149
1/22/2001,1183.08,99.0739
1/23/2001,1198.92,98.7593
1/24/2001,1183.13,99.6468
1/25/2001,1165.2,99.8662
1/26/2001,1181.32,99.4382
1/29/2001,1162.91,98.8257
1/30/2001,1163.88,99.2606
1/31/2001,1170.17,99.2584
2/1/2001,1181.86,99.3846
2/2/2001,1174.46,99.7497
2/5/2001,1189.91,100.7209
2/6/2001,1172.71,100.5729
2/7/2001,1178.91,100.3745
2/8/2001,1165.87,100.1468
2/9/2001,1163.99,100.4212
2/12/2001,1174.47,100.3323
2/13/2001,1163.69,101.0891
2/14/2001,1148.63,100.7596
2/15/2001,1133.75,100.8318
2/16/2001,1131.79,100.8421
2/19/2001,1148.77,100.8727
2/20/2001,1118.56,100.8278
2/21/2001,1132,101.0795
2/22/2001,1127.02,101.1649
2/23/2001,1131.78,100.938
2/26/2001,1136.3,100.586
2/27/2001,1142.31,100.7339
2/28/2001,1159.51,100.0389
3/1/2001,1168.82,100.0528
3/2/2001,1186.29,99.8304
3/5/2001,1184.34,100.6521
3/6/2001,1174.16,100.1771
3/7/2001,1185.25,100.1589
3/8/2001,1186.12,99.9058
3/9/2001,1187.4,100.1614
