Date,USD,NEER
4/19/2001,0.8827,110.1175
4/20/2001,0.8989,109.9561
4/23/2001,0.9002,109.9169
4/24/2001,0.8973,110.0875
4/25/2001,0.8947,110.0317
4/26/2001,0.9013,109.7319
4/27/2001,0.9023,109.3923
4/30/2001,0.8876,109.0128
5/2/2001,0.8907,109.3163
5/3/2001,0.8903,108.1805
5/4/2001,0.8939,107.9107
5/7/2001,0.8919,108.2851
5/8/2001,0.8866,108.3254
5/9/2001,0.8827,108.2724
5/10/2001,0.885,107.9642
5/11/2001,0.8773,108.3974
5/14/2001,0.8745,108.3663
5/15/2001,0.8768,108.3925
5/16/2001,0.8834,108.6374
5/17/2001,0.8815,108.1048
5/18/2001,0.8777,108.3425
5/21/2001,0.8754,107.935
5/22/2001,0.8685,108.3998
5/23/2001,0.8585,108.8459
5/24/2001,0.8604,109.4413
5/25/2001,0.8591,109.6646
5/28/2001,0.8584,109.2952
5/29/2001,0.8552,108.9931
5/30/2001,0.8558,109.4772
5/31/2001,0.848,108.7425
6/1/2001,0.8478,108.6644
6/4/2001,0.8513,107.9847
6/5/2001,0.8465,107.8204
6/6/2001,0.8543,107.8797
6/7/2001,0.8466,107.9801
6/8/2001,0.8468,107.8038
6/11/2001,0.8494,107.9789
6/12/2001,0.8474,108.2636
6/13/2001,0.8542,108.2066
6/14/2001,0.8492,108.1508
6/15/2001,0.8662,108.4763
6/18/2001,0.8581,108.8496
6/19/2001,0.8563,108.8779
6/20/2001,0.8513,108.7211
6/21/2001,0.8552,108.6858
6/22/2001,0.8528,108.8835
6/25/2001,0.8607,108.6148
6/26/2001,0.8611,108.3409
6/27/2001,0.8622,108.4589
6/28/2001,0.8511,108.8218
6/29/2001,0.848,109.2215
7/2/2001,0.8455,109.237
7/3/2001,0.8497,108.8782
7/4/2001,0.8453,109.1746
7/5/2001,0.8422,109.3948
7/6/2001,0.8384,109.4514
7/9/2001,0.8459,109.5874
7/10/2001,0.8545,109.8758
7/11/2001,0.8611,110.3674
7/12/2001,0.8538,110.1878
7/13/2001,0.8539,110.3512
7/16/2001,0.8583,110.1649
7/17/2001,0.8516,109.694
7/18/2001,0.863,109.4006
7/19/2001,0.8723,109.7081
7/20/2001,0.8776,109.4731
7/23/2001,0.8676,109.681
7/24/2001,0.8708,110.155
7/25/2001,0.8793,109.9084
7/26/2001,0.8764,109.6108
7/27/2001,0.8768,109.7205
7/30/2001,0.8751,109.9224
7/31/2001,0.8755,110.0757
8/1/2001,0.8817,110.3883
8/2/2001,0.8788,110.5424
8/3/2001,0.8806,110.5606
8/6/2001,0.8805,110.566
8/7/2001,0.8768,110.8075
8/8/2001,0.8763,110.7276
8/9/2001,0.8853,110.942
8/10/2001,0.8936,111.2059
8/13/2001,0.8991,111.1126
8/14/2001,0.8968,110.9761
8/15/2001,0.9114,111.0035
8/16/2001,0.9144,110.6799
8/17/2001,0.9138,110.2613
8/20/2001,0.9149,110.3203
8/21/2001,0.9128,110.1684
8/22/2001,0.9216,110.2961
8/23/2001,0.9112,110.2768
8/24/2001,0.9108,110.3735
8/27/2001,0.909,110.4176
8/28/2001,0.9042,110.8937
8/29/2001,0.9122,110.5886
8/30/2001,0.9095,110.2265
8/31/2001,0.9158,110.0849
9/3/2001,0.9072,110.2034
9/4/2001,0.897,109.9753
9/5/2001,0.8891,110.2621
9/6/2001,0.8855,110.5246
9/7/2001,0.8952,110.7091
9/10/2001,0.9047,111.1103
9/11/2001,0.8964,111.9635
9/12/2001,0.9052,112.2297
9/13/2001,0.906,112.0572
9/14/2001,0.9219,111.3941
9/17/2001,0.9269,111.2744
9/18/2001,0.9256,111.4672
9/19/2001,0.9258,111.6577
9/20/2001,0.9259,111.9406
9/21/2001,0.92,111.7613
9/24/2001,0.9164,111.9103
9/25/2001,0.9176,111.8536
9/26/2001,0.9219,111.6383
9/27/2001,0.9205,111.526
9/28/2001,0.9131,111.9834
10/1/2001,0.9125,112.4877
10/2/2001,0.9189,112.6515
10/3/2001,0.9209,112.5348
10/4/2001,0.9117,112.745
10/5/2001,0.9174,112.6038
10/8/2001,0.9214,112.903
10/9/2001,0.9193,113.4228
10/10/2001,0.9136,113.7985
10/11/2001,0.9062,113.051
10/12/2001,0.904,112.8976
10/15/2001,0.9097,112.865
10/16/2001,0.9052,113.1389
10/17/2001,0.9022,113.0273
10/18/2001,0.9026,112.9879
10/19/2001,0.9009,113.1714
10/22/2001,0.8969,113.2844
10/23/2001,0.8887,112.96
10/24/2001,0.8917,112.5823
10/25/2001,0.8889,112.6565
10/26/2001,0.8911,112.615
10/29/2001,0.9005,112.6138
10/30/2001,0.9064,112.659
10/31/2001,0.9042,112.6027
11/1/2001,0.9097,112.8604
11/2/2001,0.9056,112.6285
11/5/2001,0.8961,112.8617
11/6/2001,0.8961,112.6616
11/7/2001,0.9014,112.8394
11/8/2001,0.8972,113.2038
11/9/2001,0.893,113.5112
11/12/2001,0.8919,113.3756
11/13/2001,0.8842,113.0274
11/14/2001,0.8803,112.8346
11/15/2001,0.8825,112.586
11/16/2001,0.8845,112.4473
11/19/2001,0.8793,111.6981
11/20/2001,0.8824,111.4734
11/21/2001,0.8791,111.8644
11/22/2001,0.8778,111.8986
11/23/2001,0.8795,112.0529
11/26/2001,0.8818,111.8006
11/27/2001,0.8788,111.5671
11/28/2001,0.8831,112.0351
11/29/2001,0.8887,111.8333
11/30/2001,0.8898,111.8154
12/3/2001,0.8925,111.9882
12/4/2001,0.8902,112.0417
12/5/2001,0.8919,112.3562
12/6/2001,0.8889,112.6552
12/7/2001,0.8911,112.4404
12/10/2001,0.885,112.5936
12/11/2001,0.8908,112.4867
12/12/2001,0.8938,112.2273
12/13/2001,0.8975,112.1014
12/14/2001,0.9016,112.2055
12/17/2001,0.9049,112.1399
12/18/2001,0.9012,112.3171
12/19/2001,0.8983,111.9367
12/20/2001,0.8973,112.0563
12/21/2001,0.8943,112.0743
12/24/2001,0.8798,111.9409
12/27/2001,0.8823,111.9483
12/28/2001,0.8813,111.3071
1/2/2002,0.9038,111.1075
1/3/2002,0.9036,111.1545
1/4/2002,0.8954,111.0482
1/7/2002,0.8905,111.0996
1/8/2002,0.8909,110.9369
1/9/2002,0.8921,110.3119
1/10/2002,0.8909,110.2838
1/11/2002,0.8919,109.9069
1/14/2002,0.8927,110.195
1/15/2002,0.8922,109.9058
1/16/2002,0.8817,109.5103
1/17/2002,0.8819,109.3604
1/18/2002,0.881,109.6597
