Date,JPY
9/28/2001,109.02
10/1/2001,109.2
10/2/2001,110.73
10/3/2001,111.54
10/4/2001,109.95
10/5/2001,110.31
10/8/2001,110.35
10/9/2001,110.61
10/10/2001,109.63
10/11/2001,109.55
10/12/2001,109.65
10/15/2001,109.8
10/16/2001,110.05
10/17/2001,109.75
10/18/2001,109.23
10/19/2001,109.1
10/22/2001,109.18
10/23/2001,109.03
10/24/2001,109.48
10/25/2001,109.56
10/26/2001,109.25
10/29/2001,109.94
10/30/2001,110.42
10/31/2001,110.37
11/1/2001,110.72
11/2/2001,110.05
11/5/2001,109.3
11/6/2001,108.46
11/7/2001,108.98
11/8/2001,108.25
11/9/2001,107.47
11/12/2001,107.66
11/13/2001,107.14
11/14/2001,107.2
11/15/2001,107.91
11/16/2001,108.46
11/19/2001,108.48
11/20/2001,108.47
11/21/2001,108.02
11/22/2001,108.66
11/23/2001,109.1
11/26/2001,109.33
11/27/2001,108.99
11/28/2001,108.94
11/29/2001,109.23
11/30/2001,110.06
12/3/2001,110.21
12/4/2001,110.5
12/5/2001,110.84
12/6/2001,110.72
12/7/2001,111.5
12/10/2001,111.82
12/11/2001,112.3
12/12/2001,112.6
12/13/2001,113.29
12/14/2001,115.05
12/17/2001,115.68
12/18/2001,115.26
12/19/2001,114.68
12/20/2001,115.05
12/21/2001,115.88
12/24/2001,114.23
12/27/2001,115.9
12/28/2001,115.33
1/2/2002,119.53
1/3/2002,119.02
1/4/2002,117.18
1/7/2002,116.72
1/8/2002,118.22
1/9/2002,118.05
1/10/2002,117.96
1/11/2002,117.82
1/14/2002,117.64
1/15/2002,116.97
1/16/2002,115.83
1/17/2002,116.47
1/18/2002,117.08
1/21/2002,117.24
1/22/2002,118.53
1/23/2002,118.72
1/24/2002,117.95
1/25/2002,116.35
1/28/2002,114.91
1/29/2002,114.94
1/30/2002,114.69
1/31/2002,114.73
2/1/2002,115.66
2/4/2002,115.22
2/5/2002,115.68
2/6/2002,115.55
2/7/2002,115.74
2/8/2002,117.46
2/11/2002,117.76
2/12/2002,116.95
2/13/2002,115.65
2/14/2002,114.91
2/15/2002,115.61
2/18/2002,115.68
2/19/2002,116.3
2/20/2002,116.9
2/21/2002,116.79
2/22/2002,117.07
2/25/2002,116.66
2/26/2002,116.38
2/27/2002,116.6
2/28/2002,116.07
3/1/2002,115.69
3/4/2002,114.4
3/5/2002,114.46
3/6/2002,114.86
3/7/2002,112.96
3/8/2002,112.5
3/11/2002,112.52
3/12/2002,112.4
3/13/2002,113.02
3/14/2002,113.25
3/15/2002,114.12
3/18/2002,115.31
3/19/2002,115.97
3/20/2002,115.72
3/21/2002,116.56
3/22/2002,116.76
3/25/2002,116.66
3/26/2002,116.32
3/27/2002,115.92
3/28/2002,115.51
4/2/2002,117.2
4/3/2002,116.87
4/4/2002,116.68
4/5/2002,115.98
4/8/2002,115.61
4/9/2002,115.29
4/10/2002,114.74
4/11/2002,115.8
4/12/2002,116.28
4/15/2002,115.79
4/16/2002,115.73
4/17/2002,115.97
4/18/2002,116.09
4/19/2002,115.92
4/22/2002,115.36
4/23/2002,115.42
4/24/2002,115.43
4/25/2002,115.27
4/26/2002,115.22
4/29/2002,115.69
4/30/2002,115.66
5/2/2002,115.51
5/3/2002,115.55
5/6/2002,116.34
5/7/2002,116.97
5/8/2002,116.86
5/9/2002,116.6
5/10/2002,116.6
5/13/2002,116.42
5/14/2002,116.17
5/15/2002,115.83
5/16/2002,116.3
5/17/2002,115.65
5/20/2002,115.59
5/21/2002,115.02
5/22/2002,115.15
5/23/2002,115.28
5/24/2002,114.94
5/27/2002,114.83
5/28/2002,115.31
5/29/2002,115.87
5/30/2002,115.76
5/31/2002,116.39
6/3/2002,115.67
6/4/2002,116.44
6/5/2002,116.55
6/6/2002,117.13
6/7/2002,117.56
6/10/2002,117.93
6/11/2002,118.14
6/12/2002,118.73
6/13/2002,118.24
6/14/2002,117.75
6/17/2002,117.1
6/18/2002,118.13
6/19/2002,118.37
6/20/2002,118.68
6/21/2002,117.92
6/24/2002,118.62
6/25/2002,118.2
6/26/2002,118.54
6/27/2002,118.07
6/28/2002,118.2
7/1/2002,118.72
7/2/2002,118.51
7/3/2002,117.44
7/4/2002,117.46
7/5/2002,116.98
7/8/2002,116.8
7/9/2002,117.32
7/10/2002,116.7
7/11/2002,115.43
7/12/2002,115.62
7/15/2002,116.22
7/16/2002,117.18
7/17/2002,117.39
7/18/2002,117.7
7/19/2002,117.74
7/22/2002,117.33
7/23/2002,116.37
7/24/2002,115.72
7/25/2002,116.8
7/26/2002,117.55
7/29/2002,117.42
7/30/2002,117.64
7/31/2002,117.42
8/1/2002,116.94
8/2/2002,117.62
8/5/2002,117.1
8/6/2002,117.12
8/7/2002,116.89
8/8/2002,116.92
8/9/2002,117.17
8/12/2002,116.53
8/13/2002,116.54
8/14/2002,114.9
8/15/2002,114.82
8/16/2002,115.37
8/19/2002,116.15
8/20/2002,116.3
8/21/2002,115.81
8/22/2002,116.24
8/23/2002,116.3
8/26/2002,116.13
8/27/2002,115.46
8/28/2002,116.02
8/29/2002,116.04
8/30/2002,116.35
9/2/2002,116.08
9/3/2002,116.23
9/4/2002,117.05
9/5/2002,117.34
9/6/2002,117.32
9/9/2002,116.79
9/10/2002,116.44
9/11/2002,116.93
9/12/2002,117.17
9/13/2002,117.94
9/16/2002,118.3
9/17/2002,118.64
9/18/2002,118.5
9/19/2002,118.85
9/20/2002,120.66
9/23/2002,121.04
9/24/2002,121.02
9/25/2002,119.99
9/26/2002,120.22
9/27/2002,119.81
9/30/2002,119.67
10/1/2002,120.67
10/2/2002,120.94
10/3/2002,121.47
10/4/2002,121.11
10/7/2002,121.84
10/8/2002,121.73
10/9/2002,121.89
10/10/2002,122.08
10/11/2002,122.53
10/14/2002,122.57
10/15/2002,122.56
10/16/2002,121.86
10/17/2002,121.34
10/18/2002,121.83
10/21/2002,121.53
10/22/2002,122.32
10/23/2002,121.17
10/24/2002,121.08
10/25/2002,121.21
10/28/2002,121.53
10/29/2002,121.21
10/30/2002,120.65
10/31/2002,121.04
11/1/2002,121.58
11/4/2002,121.85
11/5/2002,121.95
