Date,MXN,NEER
8/17/2010,16.226,115.5651
8/18/2010,16.1869,115.3234
8/19/2010,16.1753,115.642
8/20/2010,16.218,115.4445
8/23/2010,16.1951,115.4995
8/24/2010,16.383,115.789
8/25/2010,16.45,115.4842
8/26/2010,16.4679,115.6685
8/27/2010,16.6474,115.56
8/30/2010,16.579,115.3552
8/31/2010,16.782,115.8419
9/1/2010,16.8128,115.6898
9/2/2010,16.753,115.4334
9/3/2010,16.7443,114.9828
9/6/2010,16.6642,115.6542
9/7/2010,16.6156,115.4133
9/8/2010,16.5444,115.3896
9/9/2010,16.5217,115.3381
9/10/2010,16.4903,115.1508
9/13/2010,16.4646,115.3322
9/14/2010,16.5471,115.352
9/15/2010,16.6603,114.7819
9/16/2010,16.7258,114.7693
9/17/2010,16.7075,114.5011
9/20/2010,16.702,115.4114
9/21/2010,16.7411,115.2814
9/22/2010,16.9589,115.2731
9/23/2010,16.8776,115.4372
9/24/2010,16.8626,115.9119
9/27/2010,16.8463,115.8359
9/28/2010,16.8842,116.375
9/29/2010,16.945,116.1417
9/30/2010,17.1258,116.6391
10/1/2010,17.1947,116.4021
10/4/2010,17.2053,116.1663
10/5/2010,17.2951,115.7646
10/6/2010,17.2854,115.9522
10/7/2010,17.4122,116.267
10/8/2010,17.4337,115.9344
10/11/2010,17.2861,115.8587
10/12/2010,17.2359,115.5064
10/13/2010,17.29,115.1884
10/14/2010,17.4022,114.0855
10/15/2010,17.458,114.2071
10/18/2010,17.3713,113.9701
10/19/2010,17.2607,112.9399
10/20/2010,17.2757,113.1827
10/21/2010,17.3126,112.5464
10/22/2010,17.242,112.8199
10/25/2010,17.2332,111.593
10/26/2010,17.2473,111.7518
10/27/2010,17.1847,111.2697
10/28/2010,17.1935,111.4187
10/29/2010,17.1544,110.7254
11/1/2010,17.1951,109.6997
11/2/2010,17.2419,109.9987
11/3/2010,17.2162,109.2318
11/4/2010,17.4046,110.569
11/5/2010,17.2163,110.5894
11/8/2010,17.0462,109.345
11/9/2010,16.9759,109.6494
11/10/2010,16.9259,109.0798
11/11/2010,16.7769,110.1384
11/12/2010,16.7919,109.8075
11/15/2010,16.7797,110.0901
11/16/2010,16.737,109.5732
11/17/2010,16.7125,108.96
11/18/2010,16.7858,108.5875
11/19/2010,16.8213,108.8086
11/22/2010,16.7585,108.4613
11/23/2010,16.7259,108.0259
11/24/2010,16.5844,106.1735
11/25/2010,16.4481,106.7302
